,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,United States,VA,VT,WA,WI,WV,WY
1982-01-01,42433.18254332481,20256.124478244717,19714.154592539173,24320.8986210363,30125.22126794729,28886.120763128565,32457.002993946546,33333.333333333336,27797.810266832756,26058.261762713348,22371.55532245023,28940.754824187592,24624.664000524488,21757.46847614677,28103.761008763304,23344.041609300904,26678.90469634389,20994.776983762757,23271.92464870299,28400.970300924408,29873.904587075765,22231.69212613912,25114.185187613366,26362.027142201536,24401.75703140366,18343.932341178785,23464.236543630763,21556.41513144955,24353.679057671714,25444.174916409887,26659.23643436264,30872.615223234774,22450.228370375225,29135.252081557726,29091.544832710504,24786.380821259205,26010.1837889814,24594.06892633143,25889.988854651543,25785.091457418213,20356.651150593327,22187.9848772919,21182.71815380581,26431.958740357088,21117.157280534975,26202.495683909176,27373.84995301471,23116.763915295352,27887.410126969557,25151.336349133504,20243.01230359055,28532.09204746607
1983-01-01,40963.57671601615,20836.13728129206,20015.98250336474,25113.559892328398,30675.891655450876,29321.58479138627,33220.47442799462,33874.49528936743,28244.868775235533,27023.048452220726,23271.366083445493,29998.738223418575,24303.9199192463,22701.463660834455,28215.42732166891,23649.899057873485,26600.353297442798,20926.56460296097,23170.423956931358,29538.189771197845,30617.008748317632,22907.55383580081,25935.817631224763,26703.398384925975,25002.102960969045,18392.49663526245,23462.735531628532,22373.401749663528,24358.596904441452,25300.72341857335,27906.29205921938,31950.28600269179,22754.037685060564,29216.436742934053,30047.106325706594,25296.517496635264,24983.176312247644,25296.517496635264,26152.422611036338,26793.825706594886,21101.110363391657,22083.1931359354,21696.248317631223,26448.940107671602,21275.65612382234,26709.70726783311,28061.911170928666,23734.017496635264,28505.63593539704,25483.681022880217,20060.14468371467,27069.313593539704
1984-01-01,39965.90009539854,22002.557492845106,21389.571112509384,26463.961678202446,32226.439604603485,30464.611200194853,35593.8051839974,35567.41835305579,29721.72042137739,28229.84959506363,24976.15036434124,30523.47413075689,26212.27190614407,23108.774636166196,29969.35068098321,25266.405504698883,28041.082266019846,22532.323867903462,23733.939553859578,31897.619095946575,32356.344003085225,24170.337142509183,27592.50614001258,29096.555503684005,26561.38997706375,19300.951955670123,23721.761016501914,24052.611281385103,25223.780623947063,27085.067083443275,29823.20823269125,33864.4528792092,23569.529299531125,29920.636531552558,31919.946414435624,26936.89487892504,25883.45139748716,26291.432398968882,27273.834412487056,28193.31398299064,22424.746787910768,24068.84933119532,23145.310248239184,27468.69101020967,22270.4853147137,28191.28422676436,29687.214565530678,24976.15036434124,29139.180384435826,26934.86512269876,20977.530598575107,27531.613453224265
1985-01-01,40502.89222051705,22824.93212135521,21967.10345098965,27519.379844961237,33030.33880297485,30929.052059969305,36837.44540195962,36475.42596308975,30942.824538621964,29146.49982292527,25953.252272458976,31123.834258056897,26569.07881792783,23600.12591980482,30569.000118049815,25870.617400543026,28570.02321646401,22791.484673198753,23926.730413567857,33213.316019360165,33644.19785149333,25170.188486207844,28941.88014008578,29776.098847046786,27426.90748829339,19623.814583087395,23295.163892495966,24845.551489395188,25410.22311415417,27743.674497304528,31249.7540628812,34974.225789950026,24365.482233502535,30600.48006925589,33055.91626332979,27737.772006453386,26218.86436076024,26720.57608310707,28131.271396529333,29244.874670444256,23045.29177979774,23893.282965411403,23865.738008106084,28225.71125014756,22824.93212135521,29012.71003029945,30732.302364931333,26098.847046787076,29661.98402392476,27452.484948648325,21416.204304883326,28176.523826388067
1986-01-01,39194.58427356362,23568.439121294527,22580.956238307394,28390.13288588015,33908.07923007194,31215.645431927325,38587.05085922583,37410.55758066694,31807.74942621844,30081.583058496788,27202.067542286255,32002.5458543077,27269.571254990453,23695.731836679588,31557.02135045999,26735.327585874365,29294.682636116413,23012.979999614265,23485.505988543657,34991.99598835079,35038.28424849081,26550.17454531428,29996.721248240083,30718.04663542209,28174.121005226716,19911.666570232792,23992.748172578064,25979.28600358734,25554.976952303805,28170.26365021505,32926.382379602306,36434.64676271481,24409.34251383826,31427.799957569096,34529.113386950565,28474.99469613686,26010.14484368069,27450.866940538872,28972.593492642096,30471.175914675307,23859.6694246755,24515.419776659146,24910.798665355167,27815.386989141545,23232.84923527937,29859.785145325848,31962.043626685183,27319.716870142143,30681.40176281124,28339.98727072846,21776.69771837451,27726.66782387317
1987-01-01,36966.91384047879,24146.497534535323,22783.904844355777,28621.974630180295,34663.30409907027,31273.760680543528,40633.11627206685,38457.48484962547,32916.77645198931,30733.616893138103,27942.56031919298,32709.752700718935,28040.426092520796,24216.132796326267,32450.03199457974,27507.8104415252,29638.273045507583,23681.635111228214,23292.054052019423,36656.378213573225,36161.40324462679,27667.783340234124,30118.191741634357,31646.4034328302,28667.143448639286,20544.284262430832,24206.722625813978,26914.96969925095,25921.255693153158,28808.29600632363,34426.16780216057,37958.74581247412,24485.26367297775,32011.51804870704,35741.70963977867,28943.802461700605,25573.07938419844,27891.745398426618,29770.015432679636,31345.27797643693,24630.180298867013,25155.267813452778,25879.850942899084,27487.108066398163,23470.847291752925,30541.649414687392,32911.13034968193,28471.41190198366,31040.388451838746,28955.09466631535,22000.978657733278,26963.902585914853
1988-01-01,37096.42233856893,25087.260034904015,23660.194880744617,29132.126236183827,35613.001745200694,32031.704479348457,43115.54682955206,41204.91564863292,34380.4537521815,31958.987783595112,28992.146596858638,34453.17044793485,28057.737056428155,25356.31180919139,33913.24898196626,28421.32053519488,30031.995346131473,24965.45956951716,24087.40546829552,38799.81093659104,37734.51134380454,29079.406631762653,31039.1215823153,31884.453170447934,29353.912158231527,21336.896451425248,24261.925538103547,28195.89877835951,23471.13147178592,29739.310645724257,35780.25014543339,40185.06399069226,24860.02036067481,33527.85049447353,37838.13263525305,29988.365328679465,26165.285049447353,28999.41826643397,31153.65037812682,33247.891215823154,25683.53694008144,25363.583478766723,26996.073298429317,28141.361256544504,24007.41710296684,31708.11518324607,34285.92204770215,29644.77894124491,31991.71029668412,29550.24723676556,23065.735892961024,27336.023851076206
1989-01-01,38689.757718883935,26196.099011632992,24375.054666316802,29351.876147992654,35934.575352051084,33067.436368407245,44840.37435493746,42408.81658357387,36196.97367270183,33336.83197760868,29612.52514650573,36525.846234584096,29362.372080818684,26605.44039184816,34757.28155339806,29605.527857955043,30462.695705414153,25837.487973410305,24784.39604653197,39281.028601416954,38677.51246392023,30090.09009009009,32035.33630718097,33182.89162949357,30189.801451937376,22228.636403393684,25734.277967287675,29199.68512201522,25638.065249715735,30298.259424473017,36149.741974984696,41408.20432082568,25389.66150616636,34342.692206769876,39253.03944721421,30940.260648998512,26916.819732353713,30111.08195574215,32407.94192250503,34664.56748010146,26551.21140558034,26316.802239132336,27702.265372168284,28687.133735677424,24551.73620222164,32638.852444677686,35199.860054228986,31062.71319863553,33249.365870725094,30777.57369019505,23801.2770051605,29126.21359223301
1990-01-01,39131.607790236914,26743.10766377203,24653.907764943935,29199.898828092068,36224.60163561251,33459.2361520951,44502.14990304359,44038.445325014756,36189.191467835764,33327.71267178147,30066.604839389598,37823.11778096282,29722.62035241548,27220.301829525335,35450.63653992075,29951.94334373156,31086.754911053034,26321.55804738218,25905.067026389006,38976.47753140545,38957.9293482843,29926.650366748167,32118.708371975383,33604.24922013321,30211.617907427706,22515.80811061462,26085.490262203864,29476.43537644381,27120.816120057334,31171.064834331002,34872.27046623388,41741.84301492286,25812.32611078324,34587.30292555434,40455.27358570104,31501.559733580645,27370.373492960123,30609.560745299725,32992.15917713515,34245.004637045786,27157.91248629964,27778.4335216255,28176.376359497513,29425.849422477026,25299.721777253184,33081.5276958098,35140.37602225782,30732.65323328556,34093.24677514544,31085.068712587472,24630.300986426104,30591.01256217857
1991-01-01,38359.15837546893,27051.05203066384,24976.349698254773,28943.076170282173,35682.596640026095,33531.23470885663,43410.53661719133,44898.0590442016,36333.387701843094,32798.89088240091,29902.136682433535,37957.91877344642,29274.180394715382,26940.14027075518,34702.332409068666,29577.556679171426,30919.915185124777,26682.43353449682,26245.310716033273,38346.10993312673,38536.943402381345,29350.83999347578,31498.939814059697,33170.771489153485,30305.00733974882,22790.735605937043,26623.71554395694,29323.112053498615,26687.326700375143,31012.88533681292,35000.81552764639,40944.381014516395,26168.651117272875,34659.92497145653,38978.95938672321,30975.371065079107,27082.042081226555,30477.899200782907,33056.597618659274,33324.09068667428,26920.567607241886,27773.60952536291,28272.712444951885,29217.093459468277,25547.21905072582,32702.658620127222,34989.39814059697,30140.2707551786,34495.188386886315,30913.39096395368,24783.88517370739,30722.55749469907
1992-01-01,38635.24008483901,28025.579281419938,26202.81627250546,29162.61342433859,36142.69539285885,34445.91512909244,45513.26008260641,46304.240355941125,36372.3348270528,33189.27711419778,30853.01481493294,39118.43972762211,30420.846157526274,28097.341604605546,36222.43130750953,30931.156011290605,32061.811281037204,27743.31414355654,27191.541614173857,39250.80134594224,39057.8404324876,29995.056373291656,32316.96620791937,34385.31583395793,31202.258121102906,23731.002918334474,27054.395840974692,30653.67502830625,28448.179629068523,31852.90318465243,35598.896454941234,42577.38370516848,26765.75182993924,35944.95032452517,39947.69323998915,31964.53346516338,27730.556397212433,31141.658825968392,33868.627107021544,33975.47323265345,27598.194778892306,28939.352863316693,29692.059897619085,30205.559187969444,26137.432822491905,33611.877461846365,35705.74258057314,31259.667979651393,35434.64047076084,32159.08909691103,25944.471909037267,31200.663402809892
1993-01-01,38975.605196747354,28220.70598498302,26396.54796398417,29479.390597252077,35813.31588621989,35218.244695765956,45783.09499330155,47217.80851793002,36296.22706171916,33683.833380066666,31264.604168613885,39123.5941053681,29653.861731626006,29068.137209084958,36294.66928373368,31485.80864255226,32457.86210549272,27814.125930772345,27714.428139701526,39642.33417453344,39290.27634981462,30164.81291086394,33021.777736237025,34148.05121974016,31540.330872044113,24388.572140698507,27944.97928155279,31259.93083465744,28025.98373679783,31872.137582951673,35536.031404804184,42605.22790291927,27409.10365454715,36353.864847181976,39818.36308689285,32300.52652895909,27876.437050191606,31822.288687416265,34132.47343988535,34503.224600429945,28002.617067015606,29164.71944418481,30333.052933295945,30538.679627379504,26641.119107704766,33824.03339876,36109.29370346138,31442.190858958777,35573.41807645574,32661.9310215908,26119.26348256846,31766.208679938933
