The data on this page were constructed as part of the paper "Building a composite Help-Wanted Index" (Barnichon, 2010). Anyone is free to download the data and use it in his/her own research, as long as he/she cites the aforementioned paper.	
Update (02/2017): 
Because of divergence in the online HWI series and the JOLTS (see Cajner and Radner 2016, "A Cautionary Note on the Help Wanted Online Data"), I now rely solely on the JOLTS V (number of non-farm ads) past 2001Q1. 
The composite HWI index over 1951Q1-200Q4 was converted in units of job openings rate, ie #V/(size of the Labor Force).	
	
See the paper for details and construction methods for the composite HWI over 1951-2000.	
	
2000M12	3.30839096
2001M01	3.78198255
2001M02	3.238906757
2001M03	3.162745112
2001M04	3.42407112
2001M05	3.167389695
2001M06	2.965115828
2001M07	3.121416711
2001M08	2.858210212
2001M09	2.725909871
2001M10	2.4525815
2001M11	2.291015067
2001M12	2.288471667
2002M01	2.569164908
2002M02	2.273146195
2002M03	2.406063469
2002M04	2.344370794
2002M05	2.43056741
2002M06	2.265471449
2002M07	2.29883365
2002M08	2.352468168
2002M09	2.212059019
2002M10	2.379666652
2002M11	2.297672891
2002M12	1.958071926
2003M01	2.577371417
2003M02	2.255423303
2003M03	2.021750638
2003M04	2.219942626
2003M05	2.143246686
2003M06	2.206260017
2003M07	2.169855096
2003M08	2.179760154
2003M09	2.029821474
2003M10	2.119976469
2003M11	2.081569052
2003M12	2.126183872
2004M01	2.298811543
2004M02	2.260351341
2004M03	2.240801529
2004M04	2.42022481
2004M05	2.438618628
2004M06	2.263606719
2004M07	2.623185348
2004M08	2.400543302
2004M09	2.490976822
2004M10	2.519782361
2004M11	2.120954559
2004M12	2.413919063
2005M01	2.428655834
2005M02	2.547037076
2005M03	2.536600983
2005M04	2.819784945
2005M05	2.558215745
2005M06	2.656381304
2005M07	2.863613858
2005M08	2.682129922
2005M09	2.794778732
2005M10	2.822174862
2005M11	2.780527075
2005M12	2.670938877
2006M01	2.832739187
2006M02	2.77545348
2006M03	2.958324754
2006M04	3.089264226
2006M05	2.879596083
2006M06	2.845654498
2006M07	2.70841127
2006M08	2.986519921
2006M09	2.956712194
2006M10	2.917952694
2006M11	2.818984647
2006M12	2.768709729
2007M01	3.005393986
2007M02	2.893767622
2007M03	3.032475597
2007M04	3.156513904
2007M05	2.959516692
2007M06	2.992200112
2007M07	2.909742377
2007M08	2.961343034
2007M09	2.92532589
2007M10	2.775202218
2007M11	2.663338681
2007M12	2.639103949
2008M01	2.730635422
2008M02	2.588247276
2008M03	2.555506842
2008M04	2.624650373
2008M05	2.520445151
2008M06	2.388610223
2008M07	2.422755909
2008M08	2.313920256
2008M09	2.044165817
2008M10	2.058627464
2008M11	1.836880941
2008M12	1.75271906
2009M01	1.716152091
2009M02	1.72819559
2009M03	1.53383088
2009M04	1.44161899
2009M05	1.485193371
2009M06	1.486170336
2009M07	1.336199716
2009M08	1.410134864
2009M09	1.528494418
2009M10	1.477327215
2009M11	1.44335094
2009M12	1.488952263
2010M01	1.637324993
2010M02	1.596319793
2010M03	1.651924238
2010M04	2.013858428
2010M05	1.800388272
2010M06	1.654494135
2010M07	1.855086114
2010M08	1.81984207
2010M09	1.718965232
2010M10	1.901560893
2010M11	1.815332893
2010M12	1.783138397
2011M01	1.84313315
2011M02	1.922709839
2011M03	1.97051837
2011M04	2.07443874
2011M05	1.958289938
2011M06	2.034571867
2011M07	2.206078003
2011M08	1.990869122
2011M09	2.206665631
2011M10	2.159069407
2011M11	1.975668449
2011M12	2.123354477
2012M01	2.317910231
2012M02	2.202079242
2012M03	2.438801943
2012M04	2.313914018
2012M05	2.338191969
2012M06	2.392780625
2012M07	2.328705213
2012M08	2.305347118
2012M09	2.216423837
2012M10	2.331936445
2012M11	2.229023383
2012M12	2.238760199
2013M01	2.329219355
2013M02	2.510992825
2013M03	2.467597681
2013M04	2.503303947
2013M05	2.449771368
2013M06	2.463461617
2013M07	2.466361455
2013M08	2.472024337
2013M09	2.512245138
2013M10	2.611881616
2013M11	2.446586086
2013M12	2.358929282
2014M01	2.451787277
2014M02	2.592210656
2014M03	2.651449404
2014M04	2.921317826
2014M05	2.93778242
2014M06	2.993880434
2014M07	2.978702344
2014M08	3.165196827
2014M09	2.962830878
2014M10	3.12071548
2014M11	2.999451497
2014M12	3.06993951
2015M01	3.158429469
2015M02	3.270319719
2015M03	3.303578664
2015M04	3.574841603
2015M05	3.433666983
2015M06	3.293241027
2015M07	3.716040368
2015M08	3.387364413
2015M09	3.427563148
2015M10	3.46472895
2015M11	3.305093248
2015M12	3.351169268
2016M01	3.559626034
2016M02	3.549016834
2016M03	3.581561358
2016M04	3.709467966
2016M05	3.495160601
2016M06	3.57302788
2016M07	3.690871859
2016M08	3.429426945
2016M09	3.542116988
2016M10	3.424985894
2016M11	3.465751673
2016M12	3.458783933



