country_code,country,gdp,labor,human_capital,physical_capital,price_level
JPN,Japan,5031850.0,69.97669219970703,3.593987226486206,23884014.0,1.010059118270874
JOR,Jordan,109624.8125,2.459289789199829,2.9021859169006348,353822.9375,0.4059556722640991
KAZ,Kazakhstan,520080.21875,8.82071304321289,3.110008716583252,1041814.125,0.3493060767650604
KEN,Kenya,223246.234375,25.07402229309082,2.346707344055176,504993.09375,0.4277871549129486
KWT,Kuwait,253742.59375,2.372540235519409,2.2724850177764893,911087.125,0.5305518507957458
KGZ,Kyrgyzstan,39531.11328125,2.670628070831299,3.5498313903808594,81435.234375,0.2138725370168686
LAO,Lao People's DR,54361.5,3.6188180446624756,1.9430067539215088,189750.953125,0.3462486267089844
LVA,Latvia,56482.9375,0.8965887427330017,3.1564202308654785,420451.15625,0.6037737131118774
LSO,Lesotho,5820.875,0.6667981743812561,1.6994621753692627,26804.75,0.42262962460517883
LBR,Liberia,6232.748046875,1.9186075925827026,1.8383169174194336,23761.685546875,0.41430237889289856
LTU,Lithuania,90408.3046875,1.3795286417007446,3.296741008758545,347904.84375,0.6042300462722778
LUX,Luxembourg,56199.69140625,0.460662841796875,3.619642972946167,236893.34375,1.26521897315979
MDG,Madagascar,41620.1484375,13.944780349731445,1.7201874256134033,92161.3828125,0.33889031410217285
MWI,Malawi,21734.9609375,7.950417995452881,2.039123058319092,22390.880859375,0.3726377487182617
MYS,Malaysia,818144.5625,15.11832332611084,3.078611373901367,3279240.0,0.4457453191280365
MDV,Maldives,10408.591796875,0.18943481147289276,2.6109776496887207,58037.51953125,0.5420679450035095
MLI,Mali,48250.6875,6.150091648101807,1.380388617515564,70977.125,0.36129283905029297
MLT,Malta,17330.59765625,0.22019051015377045,3.163501024246216,60226.66015625,0.8576505780220032
MRT,Mauritania,21248.322265625,1.1290662288665771,1.82578706741333,96248.2578125,0.3573809266090393
MUS,Mauritius,30030.896484375,0.5828114748001099,2.6323022842407227,93397.3046875,0.47219493985176086
MEX,Mexico,2391290.0,54.993595123291016,2.777052879333496,10357724.0,0.5254238843917847
MNG,Mongolia,38103.8984375,1.3765348196029663,3.0554988384246826,166288.546875,0.3635546863079071
MAR,Morocco,289744.21875,11.522297859191895,1.9357943534851074,1442937.5,0.4131251275539398
MOZ,Mozambique,37394.9140625,11.01795768737793,1.2284468412399292,113495.8359375,0.4090595245361328
MMR,Myanmar,277804.59375,22.10930824279785,1.843833327293396,812333.125,0.2763976454734802
NAM,Namibia,23621.189453125,0.7423070073127747,2.2514283657073975,75637.5703125,0.523524820804596
NPL,Nepal,103970.75,15.652709007263184,1.8235771656036377,334690.09375,0.29541900753974915
NLD,Netherlands,950203.4375,9.456908226013184,3.396878480911255,4403760.0,0.9545859098434448
NZL,New Zealand,199241.375,2.5060808658599854,3.407055139541626,607063.25,1.0386217832565308
NIC,Nicaragua,33074.5,2.66245698928833,2.286348819732666,124761.6875,0.37856611609458923
NER,Niger,28234.169921875,8.86972713470459,1.2249869108200073,121286.8046875,0.4578727185726166
NGA,Nigeria,995048.3125,73.02055358886719,1.9742451906204224,2996071.0,0.47687798738479614
NOR,Norway,388492.46875,2.8536617755889893,3.6628432273864746,1634139.125,1.0382089614868164
PAK,Pakistan,1089080.25,63.085052490234375,1.770760416984558,1669777.125,0.23597556352615356
PAN,Panama,127016.1328125,1.9198999404907227,2.8882462978363037,510780.3125,0.5258219242095947
PRY,Paraguay,86919.078125,3.3582797050476074,2.6566121578216553,271291.25,0.43818581104278564
PER,Peru,397799.15625,16.890403747558594,2.8385300636291504,1433935.0,0.5702636241912842
PHL,Philippines,913573.5625,42.424800872802734,2.7148802280426025,2640882.5,0.3933503031730652
POL,Poland,1214853.0,16.159107208251953,3.4577584266662598,2881624.0,0.49048081040382385
PRT,Portugal,327037.71875,4.961589336395264,2.5127508640289307,2612466.25,0.7301453948020935
QAT,Qatar,312499.09375,2.083951234817505,3.2594563961029053,1599698.75,0.5870935916900635
KOR,Republic of Korea,2156917.25,26.798534393310547,3.765122890472412,10635833.0,0.7633762955665588
MDA,Republic of Moldova,38440.0078125,1.4288779497146606,3.5806031227111816,94309.21875,0.3110159635543823
ROU,Romania,541634.25,8.680299758911133,3.273047924041748,1702481.75,0.46170634031295776
RUS,Russian Federation,4133948.5,71.67063903808594,3.434407949447632,17784060.0,0.40951892733573914
RWA,Rwanda,28869.240234375,5.274786949157715,1.9190202951431274,49334.38671875,0.3586949408054352
SAU,Saudi Arabia,1749947.625,13.74460506439209,2.713832378387451,6609045.0,0.45313751697540283
SEN,Senegal,53146.421875,6.142953872680664,1.6175360679626465,153761.875,0.4452701508998871
SRB,Serbia,121193.109375,2.9051904678344727,3.4737987518310547,531527.1875,0.4247356653213501
SLE,Sierra Leone,14754.4794921875,2.535529613494873,1.6451164484024048,15617.3232421875,0.2793547213077545
SGP,Singapore,477183.59375,3.75960373878479,4.351568222045898,1998095.125,0.7797289490699768
SVK,Slovakia,151482.375,2.4688608646392822,3.8490355014801025,693621.875,0.6936758160591125
SVN,Slovenia,71353.5625,1.0468058586120605,3.5749080181121826,453203.34375,0.7592364549636841
ZAF,South Africa,735067.0625,18.642709732055664,2.9082024097442627,2816883.25,0.4780937433242798
ESP,Spain,1889426.625,19.872013092041016,2.985405206680298,11333968.0,0.7375203371047974
LKA,Sri Lanka,283475.25,8.180496215820312,2.8580374717712402,816173.25,0.29635313153266907
SDN,Sudan,181252.390625,10.32207202911377,1.6117841005325317,292487.09375,0.14663563668727875
SWE,Sweden,527787.8125,5.002136707305908,3.435986280441284,2380619.25,1.0058661699295044
CHE,Switzerland,644661.75,5.011204719543457,3.7026784420013428,2815220.0,1.1345880031585693
SYR,Syrian Arab Republic,123770.015625,4.760934829711914,2.614711046218872,401233.15625,0.16465403139591217
TWN,Taiwan,1100432.625,11.5,3.3576505184173584,3739328.25,0.5552462339401245
TJK,Tajikistan,36495.9921875,2.6825780868530273,3.03216814994812,335251.5,0.22832947969436646
THA,Thailand,1192240.125,37.540958404541016,2.8044486045837402,4478948.5,0.4546206593513489
TGO,Togo,18116.091796875,3.171970844268799,1.798118233680725,45573.1953125,0.40130141377449036
TTO,Trinidad and Tobago,39584.796875,0.6137170195579529,3.0853209495544434,74219.125,0.5862990021705627
TUN,Tunisia,130405.375,3.687084436416626,2.6992413997650146,323799.3125,0.297513872385025
TUR,Turkey,2246181.75,28.08733367919922,2.514292001724243,9685274.0,0.3389866352081299
TZA,U.R. of Tanzania: Mainland,132853.90625,23.670143127441406,1.7155940532684326,391568.9375,0.46018096804618835
UGA,Uganda,92851.2265625,15.491875648498535,2.4369723796844482,177838.4375,0.3511974811553955
UKR,Ukraine,580797.3125,16.49907684326172,3.289668560028076,6535627.0,0.2647759020328522
ARE,United Arab Emirates,635332.8125,5.808834075927734,2.746694803237915,4453746.0,0.6628687381744385
GBR,United Kingdom,2994405.75,32.98249816894531,3.7735960483551025,14146595.0,0.9439073204994202
USA,United States,20566034.0,158.29959106445312,3.7493414878845215,69059488.0,1.0421662330627441
URY,Uruguay,71310.9765625,1.6353788375854492,2.7764058113098145,317723.78125,0.7859371900558472
VEN,Venezuela (Bolivarian Republic of),7162.51171875,11.6943998336792,2.8934617042541504,201776.0,18.842592239379883
VNM,Viet Nam,723142.6875,50.39956283569336,2.869997978210449,1962285.75,0.36219853162765503
YEM,Yemen,51983.4296875,5.531877040863037,1.8429887294769287,531231.8125,0.4796796143054962
ZMB,Zambia,56811.10546875,5.225447654724121,2.686845064163208,284111.25,0.4063476622104645
ZWE,Zimbabwe,41081.72265625,6.831016540527344,2.713407516479492,59395.53125,0.5219050645828247
